year,age  ,single_age,sex,art_coverage,prop_coverage
2009,0_4  ,0         ,F  ,10.69       ,0.1069
2009,0_4  ,1         ,F  ,10.69       ,0.1069
2009,0_4  ,2         ,F  ,10.69       ,0.1069
2009,0_4  ,3         ,F  ,10.69       ,0.1069
2009,0_4  ,4         ,F  ,10.69       ,0.1069
2009,5_9  ,5         ,F  ,7.6         ,0.076
2009,5_9  ,6         ,F  ,7.6         ,0.076
2009,5_9  ,7         ,F  ,7.6         ,0.076
2009,5_9  ,8         ,F  ,7.6         ,0.076
2009,5_9  ,9         ,F  ,7.6         ,0.076
2009,10_14,10        ,F  ,6.74        ,0.0674
2009,10_14,11        ,F  ,6.74        ,0.0674
2009,10_14,12        ,F  ,6.74        ,0.0674
2009,10_14,13        ,F  ,6.74        ,0.0674
2009,10_14,14        ,F  ,6.74        ,0.0674
2009,15_19,15        ,F  ,12.18       ,0.1218
2009,15_19,16        ,F  ,12.18       ,0.1218
2009,15_19,17        ,F  ,12.18       ,0.1218
2009,15_19,18        ,F  ,12.18       ,0.1218
2009,15_19,19        ,F  ,12.18       ,0.1218
2009,20_24,20        ,F  ,7.59        ,0.0759
2009,20_24,21        ,F  ,7.59        ,0.0759
2009,20_24,22        ,F  ,7.59        ,0.0759
2009,20_24,23        ,F  ,7.59        ,0.0759
2009,20_24,24        ,F  ,7.59        ,0.0759
2009,25_29,25        ,F  ,14.38       ,0.1438
2009,25_29,26        ,F  ,14.38       ,0.1438
2009,25_29,27        ,F  ,14.38       ,0.1438
2009,25_29,28        ,F  ,14.38       ,0.1438
2009,25_29,29        ,F  ,14.38       ,0.1438
2009,30_34,30        ,F  ,20.87       ,0.2087
2009,30_34,31        ,F  ,20.87       ,0.2087
2009,30_34,32        ,F  ,20.87       ,0.2087
2009,30_34,33        ,F  ,20.87       ,0.2087
2009,30_34,34        ,F  ,20.87       ,0.2087
2009,35_39,35        ,F  ,25.8        ,0.258
2009,35_39,36        ,F  ,25.8        ,0.258
2009,35_39,37        ,F  ,25.8        ,0.258
2009,35_39,38        ,F  ,25.8        ,0.258
2009,35_39,39        ,F  ,25.8        ,0.258
2009,40_44,40        ,F  ,29.72       ,0.2972
2009,40_44,41        ,F  ,29.72       ,0.2972
2009,40_44,42        ,F  ,29.72       ,0.2972
2009,40_44,43        ,F  ,29.72       ,0.2972
2009,40_44,44        ,F  ,29.72       ,0.2972
2009,45_49,45        ,F  ,34.18       ,0.3418
2009,45_49,46        ,F  ,34.18       ,0.3418
2009,45_49,47        ,F  ,34.18       ,0.3418
2009,45_49,48        ,F  ,34.18       ,0.3418
2009,45_49,49        ,F  ,34.18       ,0.3418
2009,50_54,50        ,F  ,38.78       ,0.3878
2009,50_54,51        ,F  ,38.78       ,0.3878
2009,50_54,52        ,F  ,38.78       ,0.3878
2009,50_54,53        ,F  ,38.78       ,0.3878
2009,50_54,54        ,F  ,38.78       ,0.3878
2009,55_59,55        ,F  ,37.74       ,0.3774
2009,55_59,56        ,F  ,37.74       ,0.3774
2009,55_59,57        ,F  ,37.74       ,0.3774
2009,55_59,58        ,F  ,37.74       ,0.3774
2009,55_59,59        ,F  ,37.74       ,0.3774
2009,60_64,60        ,F  ,36.69       ,0.3669
2009,60_64,61        ,F  ,36.69       ,0.3669
2009,60_64,62        ,F  ,36.69       ,0.3669
2009,60_64,63        ,F  ,36.69       ,0.3669
2009,60_64,64        ,F  ,36.69       ,0.3669
2009,65_69,65        ,F  ,36.22       ,0.3622
2009,65_69,66        ,F  ,36.22       ,0.3622
2009,65_69,67        ,F  ,36.22       ,0.3622
2009,65_69,68        ,F  ,36.22       ,0.3622
2009,65_69,69        ,F  ,36.22       ,0.3622
2009,70_74,70        ,F  ,36          ,0.36
2009,70_74,71        ,F  ,36          ,0.36
2009,70_74,72        ,F  ,36          ,0.36
2009,70_74,73        ,F  ,36          ,0.36
2009,70_74,74        ,F  ,36          ,0.36
2009,75_79,75        ,F  ,35.74       ,0.3574
2009,75_79,76        ,F  ,35.74       ,0.3574
2009,75_79,77        ,F  ,35.74       ,0.3574
2009,75_79,78        ,F  ,35.74       ,0.3574
2009,75_79,79        ,F  ,35.74       ,0.3574
2009,80   ,80        ,F  ,40.6        ,0.406
2009,80   ,81        ,F  ,40.6        ,0.406
2009,80   ,82        ,F  ,40.6        ,0.406
2009,80   ,83        ,F  ,40.6        ,0.406
2009,80   ,84        ,F  ,40.6        ,0.406
2009,80   ,85        ,F  ,40.6        ,0.406
2009,80   ,86        ,F  ,40.6        ,0.406
2009,80   ,87        ,F  ,40.6        ,0.406
2009,80   ,88        ,F  ,40.6        ,0.406
2009,80   ,89        ,F  ,40.6        ,0.406
2009,80   ,90        ,F  ,40.6        ,0.406
2009,80   ,91        ,F  ,40.6        ,0.406
2009,80   ,92        ,F  ,40.6        ,0.406
2009,80   ,93        ,F  ,40.6        ,0.406
2009,80   ,94        ,F  ,40.6        ,0.406
2009,80   ,95        ,F  ,40.6        ,0.406
2009,80   ,96        ,F  ,40.6        ,0.406
2009,80   ,97        ,F  ,40.6        ,0.406
2009,80   ,98        ,F  ,40.6        ,0.406
2009,80   ,99        ,F  ,40.6        ,0.406
2009,80   ,100       ,F  ,40.6        ,0.406
2009,0_4  ,0         ,M  ,10.92       ,0.1092
2009,0_4  ,1         ,M  ,10.92       ,0.1092
2009,0_4  ,2         ,M  ,10.92       ,0.1092
2009,0_4  ,3         ,M  ,10.92       ,0.1092
2009,0_4  ,4         ,M  ,10.92       ,0.1092
2009,5_9  ,5         ,M  ,7.51        ,0.0751
2009,5_9  ,6         ,M  ,7.51        ,0.0751
2009,5_9  ,7         ,M  ,7.51        ,0.0751
2009,5_9  ,8         ,M  ,7.51        ,0.0751
2009,5_9  ,9         ,M  ,7.51        ,0.0751
2009,10_14,10        ,M  ,6.52        ,0.0652
2009,10_14,11        ,M  ,6.52        ,0.0652
2009,10_14,12        ,M  ,6.52        ,0.0652
2009,10_14,13        ,M  ,6.52        ,0.0652
2009,10_14,14        ,M  ,6.52        ,0.0652
2009,15_19,15        ,M  ,21.47       ,0.2147
2009,15_19,16        ,M  ,21.47       ,0.2147
2009,15_19,17        ,M  ,21.47       ,0.2147
2009,15_19,18        ,M  ,21.47       ,0.2147
2009,15_19,19        ,M  ,21.47       ,0.2147
2009,20_24,20        ,M  ,5.51        ,0.0551
2009,20_24,21        ,M  ,5.51        ,0.0551
2009,20_24,22        ,M  ,5.51        ,0.0551
2009,20_24,23        ,M  ,5.51        ,0.0551
2009,20_24,24        ,M  ,5.51        ,0.0551
2009,25_29,25        ,M  ,6.67        ,0.0667
2009,25_29,26        ,M  ,6.67        ,0.0667
2009,25_29,27        ,M  ,6.67        ,0.0667
2009,25_29,28        ,M  ,6.67        ,0.0667
2009,25_29,29        ,M  ,6.67        ,0.0667
2009,30_34,30        ,M  ,11.65       ,0.1165
2009,30_34,31        ,M  ,11.65       ,0.1165
2009,30_34,32        ,M  ,11.65       ,0.1165
2009,30_34,33        ,M  ,11.65       ,0.1165
2009,30_34,34        ,M  ,11.65       ,0.1165
2009,35_39,35        ,M  ,16.73       ,0.1673
2009,35_39,36        ,M  ,16.73       ,0.1673
2009,35_39,37        ,M  ,16.73       ,0.1673
2009,35_39,38        ,M  ,16.73       ,0.1673
2009,35_39,39        ,M  ,16.73       ,0.1673
2009,40_44,40        ,M  ,21.16       ,0.2116
2009,40_44,41        ,M  ,21.16       ,0.2116
2009,40_44,42        ,M  ,21.16       ,0.2116
2009,40_44,43        ,M  ,21.16       ,0.2116
2009,40_44,44        ,M  ,21.16       ,0.2116
2009,45_49,45        ,M  ,25.84       ,0.2584
2009,45_49,46        ,M  ,25.84       ,0.2584
2009,45_49,47        ,M  ,25.84       ,0.2584
2009,45_49,48        ,M  ,25.84       ,0.2584
2009,45_49,49        ,M  ,25.84       ,0.2584
2009,50_54,50        ,M  ,30.37       ,0.3037
2009,50_54,51        ,M  ,30.37       ,0.3037
2009,50_54,52        ,M  ,30.37       ,0.3037
2009,50_54,53        ,M  ,30.37       ,0.3037
2009,50_54,54        ,M  ,30.37       ,0.3037
2009,55_59,55        ,M  ,29.82       ,0.2982
2009,55_59,56        ,M  ,29.82       ,0.2982
2009,55_59,57        ,M  ,29.82       ,0.2982
2009,55_59,58        ,M  ,29.82       ,0.2982
2009,55_59,59        ,M  ,29.82       ,0.2982
2009,60_64,60        ,M  ,29.04       ,0.2904
2009,60_64,61        ,M  ,29.04       ,0.2904
2009,60_64,62        ,M  ,29.04       ,0.2904
2009,60_64,63        ,M  ,29.04       ,0.2904
2009,60_64,64        ,M  ,29.04       ,0.2904
2009,65_69,65        ,M  ,28.69       ,0.2869
2009,65_69,66        ,M  ,28.69       ,0.2869
2009,65_69,67        ,M  ,28.69       ,0.2869
2009,65_69,68        ,M  ,28.69       ,0.2869
2009,65_69,69        ,M  ,28.69       ,0.2869
2009,70_74,70        ,M  ,28.51       ,0.2851
2009,70_74,71        ,M  ,28.51       ,0.2851
2009,70_74,72        ,M  ,28.51       ,0.2851
2009,70_74,73        ,M  ,28.51       ,0.2851
2009,70_74,74        ,M  ,28.51       ,0.2851
2009,75_79,75        ,M  ,28.32       ,0.2832
2009,75_79,76        ,M  ,28.32       ,0.2832
2009,75_79,77        ,M  ,28.32       ,0.2832
2009,75_79,78        ,M  ,28.32       ,0.2832
2009,75_79,79        ,M  ,28.32       ,0.2832
2009,80   ,80        ,M  ,31.97       ,0.3197
2009,80   ,81        ,M  ,31.97       ,0.3197
2009,80   ,82        ,M  ,31.97       ,0.3197
2009,80   ,83        ,M  ,31.97       ,0.3197
2009,80   ,84        ,M  ,31.97       ,0.3197
2009,80   ,85        ,M  ,31.97       ,0.3197
2009,80   ,86        ,M  ,31.97       ,0.3197
2009,80   ,87        ,M  ,31.97       ,0.3197
2009,80   ,88        ,M  ,31.97       ,0.3197
2009,80   ,89        ,M  ,31.97       ,0.3197
2009,80   ,90        ,M  ,31.97       ,0.3197
2009,80   ,91        ,M  ,31.97       ,0.3197
2009,80   ,92        ,M  ,31.97       ,0.3197
2009,80   ,93        ,M  ,31.97       ,0.3197
2009,80   ,94        ,M  ,31.97       ,0.3197
2009,80   ,95        ,M  ,31.97       ,0.3197
2009,80   ,96        ,M  ,31.97       ,0.3197
2009,80   ,97        ,M  ,31.97       ,0.3197
2009,80   ,98        ,M  ,31.97       ,0.3197
2009,80   ,99        ,M  ,31.97       ,0.3197
2009,80   ,100       ,M  ,31.97       ,0.3197
2010,0_4  ,0         ,F  ,14.35       ,0.1435
2010,0_4  ,1         ,F  ,14.35       ,0.1435
2010,0_4  ,2         ,F  ,14.35       ,0.1435
2010,0_4  ,3         ,F  ,14.35       ,0.1435
2010,0_4  ,4         ,F  ,14.35       ,0.1435
2010,5_9  ,5         ,F  ,11.59       ,0.1159
2010,5_9  ,6         ,F  ,11.59       ,0.1159
2010,5_9  ,7         ,F  ,11.59       ,0.1159
2010,5_9  ,8         ,F  ,11.59       ,0.1159
2010,5_9  ,9         ,F  ,11.59       ,0.1159
2010,10_14,10        ,F  ,9.13        ,0.0913
2010,10_14,11        ,F  ,9.13        ,0.0913
2010,10_14,12        ,F  ,9.13        ,0.0913
2010,10_14,13        ,F  ,9.13        ,0.0913
2010,10_14,14        ,F  ,9.13        ,0.0913
2010,15_19,15        ,F  ,15.69       ,0.1569
2010,15_19,16        ,F  ,15.69       ,0.1569
2010,15_19,17        ,F  ,15.69       ,0.1569
2010,15_19,18        ,F  ,15.69       ,0.1569
2010,15_19,19        ,F  ,15.69       ,0.1569
2010,20_24,20        ,F  ,9.94        ,0.0994
2010,20_24,21        ,F  ,9.94        ,0.0994
2010,20_24,22        ,F  ,9.94        ,0.0994
2010,20_24,23        ,F  ,9.94        ,0.0994
2010,20_24,24        ,F  ,9.94        ,0.0994
2010,25_29,25        ,F  ,17.66       ,0.1766
2010,25_29,26        ,F  ,17.66       ,0.1766
2010,25_29,27        ,F  ,17.66       ,0.1766
2010,25_29,28        ,F  ,17.66       ,0.1766
2010,25_29,29        ,F  ,17.66       ,0.1766
2010,30_34,30        ,F  ,25.84       ,0.2584
2010,30_34,31        ,F  ,25.84       ,0.2584
2010,30_34,32        ,F  ,25.84       ,0.2584
2010,30_34,33        ,F  ,25.84       ,0.2584
2010,30_34,34        ,F  ,25.84       ,0.2584
2010,35_39,35        ,F  ,32.31       ,0.3231
2010,35_39,36        ,F  ,32.31       ,0.3231
2010,35_39,37        ,F  ,32.31       ,0.3231
2010,35_39,38        ,F  ,32.31       ,0.3231
2010,35_39,39        ,F  ,32.31       ,0.3231
2010,40_44,40        ,F  ,37.27       ,0.3727
2010,40_44,41        ,F  ,37.27       ,0.3727
2010,40_44,42        ,F  ,37.27       ,0.3727
2010,40_44,43        ,F  ,37.27       ,0.3727
2010,40_44,44        ,F  ,37.27       ,0.3727
2010,45_49,45        ,F  ,42.16       ,0.4216
2010,45_49,46        ,F  ,42.16       ,0.4216
2010,45_49,47        ,F  ,42.16       ,0.4216
2010,45_49,48        ,F  ,42.16       ,0.4216
2010,45_49,49        ,F  ,42.16       ,0.4216
2010,50_54,50        ,F  ,47.33       ,0.4733
2010,50_54,51        ,F  ,47.33       ,0.4733
2010,50_54,52        ,F  ,47.33       ,0.4733
2010,50_54,53        ,F  ,47.33       ,0.4733
2010,50_54,54        ,F  ,47.33       ,0.4733
2010,55_59,55        ,F  ,46.39       ,0.4639
2010,55_59,56        ,F  ,46.39       ,0.4639
2010,55_59,57        ,F  ,46.39       ,0.4639
2010,55_59,58        ,F  ,46.39       ,0.4639
2010,55_59,59        ,F  ,46.39       ,0.4639
2010,60_64,60        ,F  ,45.08       ,0.4508
2010,60_64,61        ,F  ,45.08       ,0.4508
2010,60_64,62        ,F  ,45.08       ,0.4508
2010,60_64,63        ,F  ,45.08       ,0.4508
2010,60_64,64        ,F  ,45.08       ,0.4508
2010,65_69,65        ,F  ,44.49       ,0.4449
2010,65_69,66        ,F  ,44.49       ,0.4449
2010,65_69,67        ,F  ,44.49       ,0.4449
2010,65_69,68        ,F  ,44.49       ,0.4449
2010,65_69,69        ,F  ,44.49       ,0.4449
2010,70_74,70        ,F  ,44.2        ,0.442
2010,70_74,71        ,F  ,44.2        ,0.442
2010,70_74,72        ,F  ,44.2        ,0.442
2010,70_74,73        ,F  ,44.2        ,0.442
2010,70_74,74        ,F  ,44.2        ,0.442
2010,75_79,75        ,F  ,43.91       ,0.4391
2010,75_79,76        ,F  ,43.91       ,0.4391
2010,75_79,77        ,F  ,43.91       ,0.4391
2010,75_79,78        ,F  ,43.91       ,0.4391
2010,75_79,79        ,F  ,43.91       ,0.4391
2010,80   ,80        ,F  ,49.21       ,0.4921
2010,80   ,81        ,F  ,49.21       ,0.4921
2010,80   ,82        ,F  ,49.21       ,0.4921
2010,80   ,83        ,F  ,49.21       ,0.4921
2010,80   ,84        ,F  ,49.21       ,0.4921
2010,80   ,85        ,F  ,49.21       ,0.4921
2010,80   ,86        ,F  ,49.21       ,0.4921
2010,80   ,87        ,F  ,49.21       ,0.4921
2010,80   ,88        ,F  ,49.21       ,0.4921
2010,80   ,89        ,F  ,49.21       ,0.4921
2010,80   ,90        ,F  ,49.21       ,0.4921
2010,80   ,91        ,F  ,49.21       ,0.4921
2010,80   ,92        ,F  ,49.21       ,0.4921
2010,80   ,93        ,F  ,49.21       ,0.4921
2010,80   ,94        ,F  ,49.21       ,0.4921
2010,80   ,95        ,F  ,49.21       ,0.4921
2010,80   ,96        ,F  ,49.21       ,0.4921
2010,80   ,97        ,F  ,49.21       ,0.4921
2010,80   ,98        ,F  ,49.21       ,0.4921
2010,80   ,99        ,F  ,49.21       ,0.4921
2010,80   ,100       ,F  ,49.21       ,0.4921
2010,0_4  ,0         ,M  ,14.66       ,0.1466
2010,0_4  ,1         ,M  ,14.66       ,0.1466
2010,0_4  ,2         ,M  ,14.66       ,0.1466
2010,0_4  ,3         ,M  ,14.66       ,0.1466
2010,0_4  ,4         ,M  ,14.66       ,0.1466
2010,5_9  ,5         ,M  ,11.51       ,0.1151
2010,5_9  ,6         ,M  ,11.51       ,0.1151
2010,5_9  ,7         ,M  ,11.51       ,0.1151
2010,5_9  ,8         ,M  ,11.51       ,0.1151
2010,5_9  ,9         ,M  ,11.51       ,0.1151
2010,10_14,10        ,M  ,8.84        ,0.0884
2010,10_14,11        ,M  ,8.84        ,0.0884
2010,10_14,12        ,M  ,8.84        ,0.0884
2010,10_14,13        ,M  ,8.84        ,0.0884
2010,10_14,14        ,M  ,8.84        ,0.0884
2010,15_19,15        ,M  ,25.99       ,0.2599
2010,15_19,16        ,M  ,25.99       ,0.2599
2010,15_19,17        ,M  ,25.99       ,0.2599
2010,15_19,18        ,M  ,25.99       ,0.2599
2010,15_19,19        ,M  ,25.99       ,0.2599
2010,20_24,20        ,M  ,7.87        ,0.0787
2010,20_24,21        ,M  ,7.87        ,0.0787
2010,20_24,22        ,M  ,7.87        ,0.0787
2010,20_24,23        ,M  ,7.87        ,0.0787
2010,20_24,24        ,M  ,7.87        ,0.0787
2010,25_29,25        ,M  ,8.31        ,0.0831
2010,25_29,26        ,M  ,8.31        ,0.0831
2010,25_29,27        ,M  ,8.31        ,0.0831
2010,25_29,28        ,M  ,8.31        ,0.0831
2010,25_29,29        ,M  ,8.31        ,0.0831
2010,30_34,30        ,M  ,14.48       ,0.1448
2010,30_34,31        ,M  ,14.48       ,0.1448
2010,30_34,32        ,M  ,14.48       ,0.1448
2010,30_34,33        ,M  ,14.48       ,0.1448
2010,30_34,34        ,M  ,14.48       ,0.1448
2010,35_39,35        ,M  ,21.13       ,0.2113
2010,35_39,36        ,M  ,21.13       ,0.2113
2010,35_39,37        ,M  ,21.13       ,0.2113
2010,35_39,38        ,M  ,21.13       ,0.2113
2010,35_39,39        ,M  ,21.13       ,0.2113
2010,40_44,40        ,M  ,26.91       ,0.2691
2010,40_44,41        ,M  ,26.91       ,0.2691
2010,40_44,42        ,M  ,26.91       ,0.2691
2010,40_44,43        ,M  ,26.91       ,0.2691
2010,40_44,44        ,M  ,26.91       ,0.2691
2010,45_49,45        ,M  ,32.41       ,0.3241
2010,45_49,46        ,M  ,32.41       ,0.3241
2010,45_49,47        ,M  ,32.41       ,0.3241
2010,45_49,48        ,M  ,32.41       ,0.3241
2010,45_49,49        ,M  ,32.41       ,0.3241
2010,50_54,50        ,M  ,37.95       ,0.3795
2010,50_54,51        ,M  ,37.95       ,0.3795
2010,50_54,52        ,M  ,37.95       ,0.3795
2010,50_54,53        ,M  ,37.95       ,0.3795
2010,50_54,54        ,M  ,37.95       ,0.3795
2010,55_59,55        ,M  ,37.55       ,0.3755
2010,55_59,56        ,M  ,37.55       ,0.3755
2010,55_59,57        ,M  ,37.55       ,0.3755
2010,55_59,58        ,M  ,37.55       ,0.3755
2010,55_59,59        ,M  ,37.55       ,0.3755
2010,60_64,60        ,M  ,36.54       ,0.3654
2010,60_64,61        ,M  ,36.54       ,0.3654
2010,60_64,62        ,M  ,36.54       ,0.3654
2010,60_64,63        ,M  ,36.54       ,0.3654
2010,60_64,64        ,M  ,36.54       ,0.3654
2010,65_69,65        ,M  ,36.07       ,0.3607
2010,65_69,66        ,M  ,36.07       ,0.3607
2010,65_69,67        ,M  ,36.07       ,0.3607
2010,65_69,68        ,M  ,36.07       ,0.3607
2010,65_69,69        ,M  ,36.07       ,0.3607
2010,70_74,70        ,M  ,35.84       ,0.3584
2010,70_74,71        ,M  ,35.84       ,0.3584
2010,70_74,72        ,M  ,35.84       ,0.3584
2010,70_74,73        ,M  ,35.84       ,0.3584
2010,70_74,74        ,M  ,35.84       ,0.3584
2010,75_79,75        ,M  ,35.6        ,0.356
2010,75_79,76        ,M  ,35.6        ,0.356
2010,75_79,77        ,M  ,35.6        ,0.356
2010,75_79,78        ,M  ,35.6        ,0.356
2010,75_79,79        ,M  ,35.6        ,0.356
2010,80   ,80        ,M  ,39.77       ,0.3977
2010,80   ,81        ,M  ,39.77       ,0.3977
2010,80   ,82        ,M  ,39.77       ,0.3977
2010,80   ,83        ,M  ,39.77       ,0.3977
2010,80   ,84        ,M  ,39.77       ,0.3977
2010,80   ,85        ,M  ,39.77       ,0.3977
2010,80   ,86        ,M  ,39.77       ,0.3977
2010,80   ,87        ,M  ,39.77       ,0.3977
2010,80   ,88        ,M  ,39.77       ,0.3977
2010,80   ,89        ,M  ,39.77       ,0.3977
2010,80   ,90        ,M  ,39.77       ,0.3977
2010,80   ,91        ,M  ,39.77       ,0.3977
2010,80   ,92        ,M  ,39.77       ,0.3977
2010,80   ,93        ,M  ,39.77       ,0.3977
2010,80   ,94        ,M  ,39.77       ,0.3977
2010,80   ,95        ,M  ,39.77       ,0.3977
2010,80   ,96        ,M  ,39.77       ,0.3977
2010,80   ,97        ,M  ,39.77       ,0.3977
2010,80   ,98        ,M  ,39.77       ,0.3977
2010,80   ,99        ,M  ,39.77       ,0.3977
2010,80   ,100       ,M  ,39.77       ,0.3977
2011,0_4  ,0         ,F  ,19.61       ,0.1961
2011,0_4  ,1         ,F  ,19.61       ,0.1961
2011,0_4  ,2         ,F  ,19.61       ,0.1961
2011,0_4  ,3         ,F  ,19.61       ,0.1961
2011,0_4  ,4         ,F  ,19.61       ,0.1961
2011,5_9  ,5         ,F  ,15.22       ,0.1522
2011,5_9  ,6         ,F  ,15.22       ,0.1522
2011,5_9  ,7         ,F  ,15.22       ,0.1522
2011,5_9  ,8         ,F  ,15.22       ,0.1522
2011,5_9  ,9         ,F  ,15.22       ,0.1522
