,district,age_grp,sex,number
543,Blantyre City,75+,M,2031.767161836594
0,Chitipa,Less than 1 Year,F,3239.0378926219637
1,Karonga,Less than 1 Year,F,5131.153470418708
2,Nkhata Bay,Less than 1 Year,F,4155.765927476719
3,Rumphi,Less than 1 Year,F,3306.225871767011
4,Mzimba,Less than 1 Year,F,13976.50762403955
5,Likoma,Less than 1 Year,F,155.34632064431747
6,Mzuzu City,Less than 1 Year,F,2760.9097219711484
7,Kasungu,Less than 1 Year,F,12211.460679302405
8,Nkhotakota,Less than 1 Year,F,6509.913909997277
9,Ntchisi,Less than 1 Year,F,4858.046261223898
10,Dowa,Less than 1 Year,F,10902.073724159265
11,Salima,Less than 1 Year,F,8119.116319567845
12,Lilongwe,Less than 1 Year,F,25528.731279574837
13,Mchinji,Less than 1 Year,F,8630.34553257901
14,Dedza,Less than 1 Year,F,12848.22029061591
15,Ntcheu,Less than 1 Year,F,9816.790521036737
16,Lilongwe City,Less than 1 Year,F,13862.39465571232
17,Mangochi,Less than 1 Year,F,22010.76779605976
18,Machinga,Less than 1 Year,F,13201.07602816281
19,Zomba,Less than 1 Year,F,11370.239365548718
20,Chiradzulu,Less than 1 Year,F,4982.101878809107
21,Blantyre,Less than 1 Year,F,6525.8546961570855
22,Mwanza,Less than 1 Year,F,1914.0960984810881
23,Thyolo,Less than 1 Year,F,10188.421298041738
24,Mulanje,Less than 1 Year,F,10495.72507224747
25,Phalombe,Less than 1 Year,F,6835.70489696123
26,Chikwawa,Less than 1 Year,F,9261.959541973918
27,Nsanje,Less than 1 Year,F,4893.91211626912
28,Balaka,Less than 1 Year,F,7128.517105062057
29,Neno,Less than 1 Year,F,2266.6503677028873
30,Zomba City,Less than 1 Year,F,1351.4636473579462
31,Blantyre City,Less than 1 Year,F,10865.186243539632
32,Chitipa,1-4,F,13079.289396280546
33,Karonga,1-4,F,20957.08129787304
34,Nkhata Bay,1-4,F,16277.430597756787
35,Rumphi,1-4,F,13262.52623264866
36,Mzimba,1-4,F,56058.50898122069
37,Likoma,1-4,F,687.4579059681972
38,Mzuzu City,1-4,F,10758.605697964496
39,Kasungu,1-4,F,49097.313064903974
40,Nkhotakota,1-4,F,24930.44586684034
41,Ntchisi,1-4,F,19296.08811962065
42,Dowa,1-4,F,42942.581755157145
43,Salima,1-4,F,31705.8163337835
44,Lilongwe,1-4,F,98550.02583685835
45,Mchinji,1-4,F,36338.85762362922
46,Dedza,1-4,F,50604.22620022348
47,Ntcheu,1-4,F,39286.760594171086
48,Lilongwe City,1-4,F,50682.20420127805
49,Mangochi,1-4,F,83956.38481870713
50,Machinga,1-4,F,51597.54885659974
51,Zomba,1-4,F,44334.532317161356
52,Chiradzulu,1-4,F,19221.849162872153
53,Blantyre,1-4,F,24722.522964407606
54,Mwanza,1-4,F,7997.194403928247
55,Thyolo,1-4,F,39393.32937559602
56,Mulanje,1-4,F,38840.11255549205
57,Phalombe,1-4,F,26129.206147397836
58,Chikwawa,1-4,F,34965.897666659585
59,Nsanje,1-4,F,19524.68104877527
60,Balaka,1-4,F,27513.25388533666
61,Neno,1-4,F,8595.21616012611
62,Zomba City,1-4,F,5113.4950720387
63,Blantyre City,1-4,F,39147.484964961564
64,Chitipa,5-9,F,18608.6908486466
65,Karonga,5-9,F,28596.649243345713
66,Nkhata Bay,5-9,F,21147.436885496398
67,Rumphi,5-9,F,17307.479798045915
68,Mzimba,5-9,F,74047.87943849289
69,Likoma,5-9,F,926.5298409857508
70,Mzuzu City,5-9,F,13842.146570736468
71,Kasungu,5-9,F,66602.78001976384
72,Nkhotakota,5-9,F,31196.07863599244
73,Ntchisi,5-9,F,24643.7763262886
74,Dowa,5-9,F,57219.678162080025
75,Salima,5-9,F,38833.288790958846
76,Lilongwe,5-9,F,124708.22000167321
77,Mchinji,5-9,F,47297.47904633034
78,Dedza,5-9,F,65292.46696014025
79,Ntcheu,5-9,F,50304.73347958181
80,Lilongwe City,5-9,F,61392.38144155873
81,Mangochi,5-9,F,100446.47672536655
82,Machinga,5-9,F,66261.16831602392
83,Zomba,5-9,F,60863.4236906809
84,Chiradzulu,5-9,F,26562.817345008752
85,Blantyre,5-9,F,32756.169398519567
86,Mwanza,5-9,F,9894.301483783764
87,Thyolo,5-9,F,56184.59486787829
88,Mulanje,5-9,F,53257.36922440495
89,Phalombe,5-9,F,36024.584366049596
90,Chikwawa,5-9,F,44416.42954289478
91,Nsanje,5-9,F,25185.184712268692
92,Balaka,5-9,F,36367.98008116265
93,Neno,5-9,F,10706.447867178631
94,Zomba City,5-9,F,6501.058764153009
95,Blantyre City,5-9,F,49210.76091889677
96,Chitipa,10-14,F,18330.091517790635
97,Karonga,10-14,F,29191.03328785737
98,Nkhata Bay,10-14,F,22359.960727972713
99,Rumphi,10-14,F,17359.33817708947
100,Mzimba,10-14,F,71646.34329875854
101,Likoma,10-14,F,976.4625869071383
102,Mzuzu City,10-14,F,14733.827940272606
103,Kasungu,10-14,F,62417.66708464173
104,Nkhotakota,10-14,F,29356.57534783261
105,Ntchisi,10-14,F,23820.031778571858
106,Dowa,10-14,F,57441.75271464426
107,Salima,10-14,F,35756.35954936385
108,Lilongwe,10-14,F,120730.87853562231
109,Mchinji,10-14,F,44842.897993541475
110,Dedza,10-14,F,62117.43732781705
111,Ntcheu,10-14,F,48924.585773671635
112,Lilongwe City,10-14,F,60208.9941555698
113,Mangochi,10-14,F,86541.3465272403
114,Machinga,10-14,F,57658.00243120426
115,Zomba,10-14,F,58798.29156154081
116,Chiradzulu,10-14,F,26966.190301926443
117,Blantyre,10-14,F,33444.811878906075
118,Mwanza,10-14,F,9625.566098251991
119,Thyolo,10-14,F,58484.74653755739
120,Mulanje,10-14,F,54514.16946179472
121,Phalombe,10-14,F,34549.91195249738
122,Chikwawa,10-14,F,40308.100930786066
123,Nsanje,10-14,F,22280.56205877634
124,Balaka,10-14,F,34758.837546962786
125,Neno,10-14,F,10441.774504486915
126,Zomba City,10-14,F,6968.325540647348
127,Blantyre City,10-14,F,49511.97597792728
128,Chitipa,15-19,F,14414.308657582995
129,Karonga,15-19,F,23109.07226842872
130,Nkhata Bay,15-19,F,18401.77236977529
131,Rumphi,15-19,F,13843.136711744146
132,Mzimba,15-19,F,56850.77894752516
133,Likoma,15-19,F,906.8593653197495
134,Mzuzu City,15-19,F,13543.39520590043
135,Kasungu,15-19,F,49262.43516067918
136,Nkhotakota,15-19,F,23595.82426852754
137,Ntchisi,15-19,F,18392.52733001334
138,Dowa,15-19,F,45470.14752468711
139,Salima,15-19,F,28106.02032838155
140,Lilongwe,15-19,F,95390.36900114376
141,Mchinji,15-19,F,34610.65806858651
142,Dedza,15-19,F,48991.85331458185
143,Ntcheu,15-19,F,39351.22937714521
144,Lilongwe City,15-19,F,54636.27966841804
145,Mangochi,15-19,F,68240.25869680858
146,Machinga,15-19,F,43133.00028554412
147,Zomba,15-19,F,45527.963504588035
148,Chiradzulu,15-19,F,22216.98516287215
149,Blantyre,15-19,F,28089.907317938036
150,Mwanza,15-19,F,7877.241636056785
151,Thyolo,15-19,F,46002.50571483223
152,Mulanje,15-19,F,43069.15352130588
153,Phalombe,15-19,F,26081.0345511701
154,Chikwawa,15-19,F,32951.741274766064
155,Nsanje,15-19,F,18157.402095143865
156,Balaka,15-19,F,27122.335205381645
157,Neno,15-19,F,8113.572191972001
158,Zomba City,15-19,F,6487.330578118899
159,Blantyre City,15-19,F,46314.30882808673
160,Chitipa,20-24,F,11276.859471240003
161,Karonga,20-24,F,17880.148054395828
162,Nkhata Bay,20-24,F,13967.764128972429
163,Rumphi,20-24,F,10937.033823381815
164,Mzimba,20-24,F,44529.89919845477
165,Likoma,20-24,F,780.2622014180491
166,Mzuzu City,20-24,F,13325.428648902709
167,Kasungu,20-24,F,40027.21188963086
168,Nkhotakota,20-24,F,18748.960045996075
169,Ntchisi,20-24,F,15200.389296966907
170,Dowa,20-24,F,37411.649105775665
171,Salima,20-24,F,21952.161845191556
172,Lilongwe,20-24,F,79062.90401463621
173,Mchinji,20-24,F,28721.996890279843
174,Dedza,20-24,F,40015.21192950854
175,Ntcheu,20-24,F,32053.36314447369
176,Lilongwe City,20-24,F,58681.882357341114
177,Mangochi,20-24,F,50101.420138758906
178,Machinga,20-24,F,31483.392003132823
179,Zomba,20-24,F,34160.33558583895
180,Chiradzulu,20-24,F,16979.95577162872
181,Blantyre,20-24,F,22554.459784584014
182,Mwanza,20-24,F,6785.825894050356
183,Thyolo,20-24,F,33346.130904726
184,Mulanje,20-24,F,31641.97942134783
185,Phalombe,20-24,F,18984.27068110374
186,Chikwawa,20-24,F,25898.626318436505
187,Nsanje,20-24,F,13283.252854583377
188,Balaka,20-24,F,19573.632781223554
189,Neno,20-24,F,6717.3689104858595
190,Zomba City,20-24,F,6048.0286250273775
191,Blantyre City,20-24,F,46944.16746973499
192,Chitipa,25-29,F,8104.521234255747
193,Karonga,25-29,F,12531.726264834479
194,Nkhata Bay,25-29,F,9068.14673265866
195,Rumphi,25-29,F,7734.524709701913
196,Mzimba,25-29,F,30640.448547305634
197,Likoma,25-29,F,604.2366627658843
198,Mzuzu City,25-29,F,10521.840160526412
199,Kasungu,25-29,F,29040.280513860205
200,Nkhotakota,25-29,F,13455.862006680625
201,Ntchisi,25-29,F,11140.505454648674
202,Dowa,25-29,F,28254.00928072444
203,Salima,25-29,F,16580.800518871278
204,Lilongwe,25-29,F,58234.57369183729
205,Mchinji,25-29,F,21543.39985389462
206,Dedza,25-29,F,30304.341671161885
207,Ntcheu,25-29,F,22961.717494329965
208,Lilongwe City,25-29,F,48370.14699014877
209,Mangochi,25-29,F,38254.59786211346
210,Machinga,25-29,F,24100.581563639626
211,Zomba,25-29,F,24884.998842945988
212,Chiradzulu,25-29,F,12498.79170017513
213,Blantyre,25-29,F,16059.039475200569
214,Mwanza,25-29,F,4867.611245599432
215,Thyolo,25-29,F,23839.470551218645
216,Mulanje,25-29,F,22794.00079812076
217,Phalombe,25-29,F,14119.457436255676
218,Chikwawa,25-29,F,19744.0330521141
219,Nsanje,25-29,F,10205.965076478768
220,Balaka,25-29,F,14157.736684467094
221,Neno,25-29,F,4688.206463182709
222,Zomba City,25-29,F,4887.742679477778
223,Blantyre City,25-29,F,37591.53962692311
224,Chitipa,30-34,F,7086.5818743694845
225,Karonga,30-34,F,11648.168433654406
226,Nkhata Bay,30-34,F,8155.818266761744
227,Rumphi,30-34,F,7074.60141559864
228,Mzimba,30-34,F,27537.30532427695
229,Likoma,30-34,F,551.7820609898808
230,Mzuzu City,30-34,F,9435.563939404894
231,Kasungu,30-34,F,26589.707025184085
232,Nkhotakota,30-34,F,12174.788466381904
233,Ntchisi,30-34,F,10061.451261397362
234,Dowa,30-34,F,25298.63092487532
235,Salima,30-34,F,14940.080673821878
236,Lilongwe,30-34,F,52437.24108945928
237,Mchinji,30-34,F,19686.358887938834
238,Dedza,30-34,F,26741.5261549502
239,Ntcheu,30-34,F,20689.321832057827
240,Lilongwe City,30-34,F,42989.44069652023
241,Mangochi,30-34,F,33259.000524111296
242,Machinga,30-34,F,20996.076819527956
243,Zomba,30-34,F,22854.86010092082
244,Chiradzulu,30-34,F,11435.02010507881
245,Blantyre,30-34,F,14468.7138070121
246,Mwanza,30-34,F,4184.961588099183
247,Thyolo,30-34,F,22738.205000720765
248,Mulanje,30-34,F,22130.704138387708
249,Phalombe,30-34,F,13524.823108627314
250,Chikwawa,30-34,F,17088.73072373221
251,Nsanje,30-34,F,8165.188121724248
252,Balaka,30-34,F,12824.014129326451
253,Neno,30-34,F,4250.161789270452
254,Zomba City,30-34,F,4491.150638492378
255,Blantyre City,30-34,F,33533.61423730169
256,Chitipa,35-39,F,5839.298313944332
257,Karonga,35-39,F,9724.309198198494
258,Nkhata Bay,35-39,F,7000.474496014838
259,Rumphi,35-39,F,6179.790169356916
260,Mzimba,35-39,F,23418.840837538184
261,Likoma,35-39,F,446.3684862669512
262,Mzuzu City,35-39,F,7713.170866625691
263,Kasungu,35-39,F,22856.02881062171
264,Nkhotakota,35-39,F,10195.550245880579
265,Ntchisi,35-39,F,8422.660089759642
266,Dowa,35-39,F,20794.346379417242
267,Salima,35-39,F,12757.43389722084
268,Lilongwe,35-39,F,44686.20791434694
269,Mchinji,35-39,F,16003.726434281634
270,Dedza,35-39,F,22694.632443601055
271,Ntcheu,35-39,F,18525.23372518223
272,Lilongwe City,35-39,F,35884.142675054936
273,Mangochi,35-39,F,29812.38491273373
274,Machinga,35-39,F,18876.016545242426
275,Zomba,35-39,F,21651.505415655585
276,Chiradzulu,35-39,F,11029.024437127846
277,Blantyre,35-39,F,13676.388076769646
278,Mwanza,35-39,F,3845.1812155877483
279,Thyolo,35-39,F,21435.89384661019
280,Mulanje,35-39,F,20390.599926619667
281,Phalombe,35-39,F,11720.201159622773
282,Chikwawa,35-39,F,16030.687032039157
283,Nsanje,35-39,F,7890.068088833031
284,Balaka,35-39,F,12020.749408616744
285,Neno,35-39,F,3859.8198725875145
286,Zomba City,35-39,F,3915.583727728948
287,Blantyre City,35-39,F,28953.549498665438
288,Chitipa,40-44,F,4913.199249128453
289,Karonga,40-44,F,7774.584686654174
290,Nkhata Bay,40-44,F,5729.749509099658
291,Rumphi,40-44,F,4864.519320477742
292,Mzimba,40-44,F,19515.700697948487
293,Likoma,40-44,F,340.45054037309836
294,Mzuzu City,40-44,F,5441.542716656423
295,Kasungu,40-44,F,17709.97597256312
296,Nkhotakota,40-44,F,7824.646229619133
297,Ntchisi,40-44,F,6666.702768167181
298,Dowa,40-44,F,17034.904988421746
299,Salima,40-44,F,9475.479067453267
300,Lilongwe,40-44,F,35757.50316472509
301,Mchinji,40-44,F,12327.688226064869
302,Dedza,40-44,F,18058.47165363053
303,Ntcheu,40-44,F,13899.98535948624
304,Lilongwe City,40-44,F,24332.81036936556
305,Mangochi,40-44,F,21030.446140599386
306,Machinga,40-44,F,13227.230238306967
307,Zomba,40-44,F,15531.840985424335
308,Chiradzulu,40-44,F,8123.0606122591935
309,Blantyre,40-44,F,10476.134931962235
310,Mwanza,40-44,F,2765.091485998366
311,Thyolo,40-44,F,16848.254797243353
312,Mulanje,40-44,F,15065.860048208831
313,Phalombe,40-44,F,8413.454166957737
314,Chikwawa,40-44,F,11738.37298028632
315,Nsanje,40-44,F,5921.061577441437
316,Balaka,40-44,F,8817.097659787536
317,Neno,40-44,F,2873.449956974785
318,Zomba City,40-44,F,2544.7989296563283
319,Blantyre City,40-44,F,20196.369967910592
320,Chitipa,45-49,F,3952.211133671311
321,Karonga,45-49,F,5534.13447187613
322,Nkhata Bay,45-49,F,4346.706524144569
323,Rumphi,45-49,F,3680.4196656499144
324,Mzimba,45-49,F,14714.688938548199
325,Likoma,45-49,F,242.60253321401527
326,Mzuzu City,45-49,F,3280.6761271195633
327,Kasungu,45-49,F,13086.052330319722
328,Nkhotakota,45-49,F,5831.1285269807195
329,Ntchisi,45-49,F,4836.557273022591
330,Dowa,45-49,F,13092.188277034154
331,Salima,45-49,F,7382.466593219135
332,Lilongwe,45-49,F,27482.94611937227
333,Mchinji,45-49,F,9599.192362673397
334,Dedza,45-49,F,13894.87584766987
335,Ntcheu,45-49,F,9916.330321948793
336,Lilongwe City,45-49,F,14555.812846829836
337,Mangochi,45-49,F,17071.353863057207
338,Machinga,45-49,F,10821.04290504434
339,Zomba,45-49,F,11495.588811930513
340,Chiradzulu,45-49,F,6054.266149211909
341,Blantyre,45-49,F,7384.723407650369
342,Mwanza,45-49,F,1962.4890606266563
343,Thyolo,45-49,F,12518.650656450289
344,Mulanje,45-49,F,10589.657115041946
345,Phalombe,45-49,F,6048.9021585749215
346,Chikwawa,45-49,F,9155.441655864164
347,Nsanje,45-49,F,4793.537510696331
348,Balaka,45-49,F,6529.596239783384
349,Neno,45-49,F,2115.848102913422
350,Zomba City,45-49,F,1664.1612181348976
351,Blantyre City,45-49,F,12215.168304459528
352,Chitipa,50-54,F,3145.145300455035
353,Karonga,50-54,F,4333.468355852154
354,Nkhata Bay,50-54,F,3748.3579164046773
355,Rumphi,50-54,F,2891.867254899394
356,Mzimba,50-54,F,12974.579740774147
357,Likoma,50-54,F,180.56487919047294
358,Mzuzu City,50-54,F,2356.985682779565
359,Kasungu,50-54,F,9957.316839728905
360,Nkhotakota,50-54,F,4251.205824812951
361,Ntchisi,50-54,F,3666.430701203839
362,Dowa,50-54,F,9621.699062478561
363,Salima,50-54,F,4856.2216575449565
364,Lilongwe,50-54,F,19171.876112539027
365,Mchinji,50-54,F,6827.073029445215
366,Dedza,50-54,F,9706.683636118443
367,Ntcheu,50-54,F,7784.734481692157
368,Lilongwe City,50-54,F,9408.401482637533
369,Mangochi,50-54,F,11677.221904543836
370,Machinga,50-54,F,7075.760012400773
371,Zomba,50-54,F,8373.865307663875
372,Chiradzulu,50-54,F,4552.501811558669
373,Blantyre,50-54,F,5353.357049776162
374,Mwanza,50-54,F,1413.1774583998351
375,Thyolo,50-54,F,9175.805777483312
376,Mulanje,50-54,F,7735.487390130492
377,Phalombe,50-54,F,4268.107020607754
378,Chikwawa,50-54,F,6207.5973818985485
379,Nsanje,50-54,F,3195.3449566798586
380,Balaka,50-54,F,4873.940654091551
381,Neno,50-54,F,1611.122155454802
382,Zomba City,50-54,F,1196.8944416405586
383,Blantyre City,50-54,F,8071.466441074445
384,Chitipa,55-59,F,2277.023628616549
385,Karonga,55-59,F,3287.4765908368677
386,Nkhata Bay,55-59,F,2794.165469420158
387,Rumphi,55-59,F,2203.9811093510675
388,Mzimba,55-59,F,10130.031786331185
389,Likoma,55-59,F,140.7195566875473
390,Mzuzu City,55-59,F,1583.1790014100293
391,Kasungu,55-59,F,7778.917080786236
392,Nkhotakota,55-59,F,3338.848912554029
393,Ntchisi,55-59,F,2959.8523034418376
394,Dowa,55-59,F,7734.320623788943
395,Salima,55-59,F,3964.5148908948754
396,Lilongwe,55-59,F,15457.839382797698
397,Mchinji,55-59,F,5411.339258349176
398,Dedza,55-59,F,8111.057239389677
399,Ntcheu,55-59,F,6517.020333288862
400,Lilongwe City,55-59,F,6217.384484058715
401,Mangochi,55-59,F,9771.71184151989
402,Machinga,55-59,F,6138.3931208341155
403,Zomba,55-59,F,7004.944895302681
404,Chiradzulu,55-59,F,3816.0445534150617
405,Blantyre,55-59,F,4103.48384380125
406,Mwanza,55-59,F,1126.9382354962618
407,Thyolo,55-59,F,7247.139947550509
408,Mulanje,55-59,F,6400.497910414599
409,Phalombe,55-59,F,3575.0576039119806
410,Chikwawa,55-59,F,4890.139316856861
411,Nsanje,55-59,F,2633.1431503369345
412,Balaka,55-59,F,4019.9819334411545
413,Neno,55-59,F,1188.9784006189846
414,Zomba City,55-59,F,778.4389932675002
415,Blantyre City,55-59,F,5540.063064188817
416,Chitipa,60-64,F,1658.7691282824026
417,Karonga,60-64,F,2618.0832456688254
418,Nkhata Bay,60-64,F,2337.7459682943363
419,Rumphi,60-64,F,1747.42400757546
420,Mzimba,60-64,F,8098.874128893918
421,Likoma,60-64,F,99.36112067185242
422,Mzuzu City,60-64,F,1227.5226147004591
423,Kasungu,60-64,F,5834.314050724061
424,Nkhotakota,60-64,F,2502.4792445246094
425,Ntchisi,60-64,F,2171.922736060605
426,Dowa,60-64,F,5682.555964580511
427,Salima,60-64,F,2956.3865591015706
428,Lilongwe,60-64,F,11258.848812548738
429,Mchinji,60-64,F,3990.532990760495
430,Dedza,60-64,F,6061.1823308994935
431,Ntcheu,60-64,F,5201.857160616609
432,Lilongwe City,60-64,F,4227.662271382913
433,Mangochi,60-64,F,7378.928882798441
434,Machinga,60-64,F,4635.57220595074
435,Zomba,60-64,F,5696.61004869269
436,Chiradzulu,60-64,F,3075.3909576182136
437,Blantyre,60-64,F,3373.574398297948
438,Mwanza,60-64,F,796.9394191631857
439,Thyolo,60-64,F,5648.801014892108
440,Mulanje,60-64,F,5259.144876459384
441,Phalombe,60-64,F,2776.859434159972
442,Chikwawa,60-64,F,3660.3419044987995
443,Nsanje,60-64,F,2199.9201117766606
444,Balaka,60-64,F,3312.356408495845
445,Neno,60-64,F,943.2835542443108
446,Zomba City,60-64,F,540.483768676259
447,Blantyre City,60-64,F,4117.769441084442
448,Chitipa,65-69,F,1495.0984348329482
449,Karonga,65-69,F,2120.4353337278235
450,Nkhata Bay,65-69,F,1887.9634397799643
451,Rumphi,65-69,F,1363.0619040761735
452,Mzimba,65-69,F,6787.8682353666945
453,Likoma,65-69,F,91.29118193708267
454,Mzuzu City,65-69,F,755.0077009291731
455,Kasungu,65-69,F,4967.801768307367
456,Nkhotakota,65-69,F,2385.1834983985327
457,Ntchisi,65-69,F,2233.8314877834164
458,Dowa,65-69,F,5549.821749254759
459,Salima,65-69,F,3226.3197455398395
460,Lilongwe,65-69,F,11588.493999998778
461,Mchinji,65-69,F,3478.2108450037767
462,Dedza,65-69,F,6612.769809466931
463,Ntcheu,65-69,F,5798.064465561363
464,Lilongwe City,65-69,F,3010.9471383316586
465,Mangochi,65-69,F,8610.76316437854
466,Machinga,65-69,F,5718.356505918922
467,Zomba,65-69,F,6823.188198049078
468,Chiradzulu,65-69,F,3703.792521190893
469,Blantyre,65-69,F,3849.1761712690045
470,Mwanza,65-69,F,892.695705961863
471,Thyolo,65-69,F,6502.057553059369
472,Mulanje,65-69,F,6267.208866449255
473,Phalombe,65-69,F,3593.1866992665036
474,Chikwawa,65-69,F,4067.5562155116845
475,Nsanje,65-69,F,2424.07272836667
476,Balaka,65-69,F,3854.8344697168427
477,Neno,65-69,F,985.3440498658626
478,Zomba City,65-69,F,410.82867835410855
479,Blantyre City,65-69,F,3180.212634830506
480,Chitipa,70-74,F,1089.2566839911974
481,Karonga,70-74,F,1656.4122807017543
482,Nkhata Bay,70-74,F,1442.7757384581337
483,Rumphi,70-74,F,1059.5378620271338
484,Mzimba,70-74,F,4777.830908630652
485,Likoma,70-74,F,54.976457630618846
486,Mzuzu City,70-74,F,501.98358581293616
487,Kasungu,70-74,F,3089.348568662784
488,Nkhotakota,70-74,F,1439.167806816476
489,Ntchisi,70-74,F,1310.8282802796869
490,Dowa,70-74,F,3457.215793023018
491,Salima,70-74,F,1921.9861042007249
492,Lilongwe,70-74,F,7608.581198632374
493,Mchinji,70-74,F,2254.724690978823
494,Dedza,70-74,F,4293.904422813879
495,Ntcheu,70-74,F,3167.7381202168563
496,Lilongwe City,70-74,F,1605.208395076204
497,Mangochi,70-74,F,4935.73838314277
498,Machinga,70-74,F,3146.8745645452095
499,Zomba,70-74,F,3607.974898356019
500,Chiradzulu,70-74,F,2005.8493982486866
501,Blantyre,70-74,F,2063.8640929036833
502,Mwanza,70-74,F,505.552008797318
503,Thyolo,70-74,F,3747.046801190925
504,Mulanje,70-74,F,3602.4775071735853
505,Phalombe,70-74,F,1905.108934683898
506,Chikwawa,70-74,F,2393.339680245943
507,Nsanje,70-74,F,1529.5425647128036
508,Balaka,70-74,F,2126.012286172467
509,Neno,70-74,F,565.2520265237795
510,Zomba City,70-74,F,212.02420652681096
511,Blantyre City,70-74,F,1677.129542251057
512,Chitipa,75+,F,2025.6172342898008
513,Karonga,75+,F,2737.0635156755097
514,Nkhata Bay,75+,F,2517.9653015129215
515,Rumphi,75+,F,1693.5319666086289
516,Mzimba,75+,F,8610.913365894336
517,Likoma,75+,F,141.72829902939355
518,Mzuzu City,75+,F,642.2138182869952
519,Kasungu,75+,F,5129.389140319804
520,Nkhotakota,75+,F,2725.3411621641562
521,Ntchisi,75+,F,2544.398531549915
522,Dowa,75+,F,6501.423969897835
523,Salima,75+,F,3880.5471248844983
524,Lilongwe,75+,F,14499.75984423385
525,Mchinji,75+,F,3954.5182656627453
526,Dedza,75+,F,8281.138767410946
527,Ntcheu,75+,F,5993.533815538926
528,Lilongwe City,75+,F,2050.906170715584
529,Mangochi,75+,F,10012.197818060247
530,Machinga,75+,F,6625.907597921238
531,Zomba,75+,F,7025.836469699648
532,Chiradzulu,75+,F,3972.358130998249
533,Blantyre,75+,F,3853.8187048446434
534,Mwanza,75+,F,960.1369617179207
535,Thyolo,75+,F,7395.945354948881
536,Mulanje,75+,F,6937.85216640087
537,Phalombe,75+,F,3894.1296821515893
538,Chikwawa,75+,F,5015.004781435281
539,Nsanje,75+,F,3307.1612271365925
540,Balaka,75+,F,4104.12352097158
541,Neno,75+,F,1011.503626410974
542,Zomba City,75+,F,282.1904907011513
543,Blantyre City,75+,F,2021.232838163406
